1.9,26.623
2,30.878
2.1,32.183
2.2,29.769
2.3,25.149
2.4,21.574
2.5,20.914
2.6,23.913
2.7,28.34
2.8,31.803
2.9,31.792
3,28.372
3.1,23.942
3.2,20.994
3.3,21.654
3.4,25.212
3.5,29.733
3.6,32.134
3.7,30.778
3.8,26.696
3.9,22.609
4,20.844
4.1,22.82
4.2,27.186
4.3,30.951
4.4,32.058
4.5,29.497
4.6,25.067
4.7,21.642
4.8,21.18
4.9,24.08
5,28.502
5.1,31.66
5.2,31.456
5.3,28.023
5.4,23.833
5.5,21.135
5.6,21.993
5.7,25.512
5.8,29.801
5.9,31.867
6,30.416
6.1,26.313
6.2,22.363
6.3,21.08
6.4,23.133
6.5,27.164
6.6,30.924
6.7,31.803
6.8,29.226
6.9,24.881
7,21.487
7.1,21.197
7.2,24.166
7.3,28.532
7.4,31.513
7.5,31.125
7.6,27.696
7.7,23.699
7.8,21.29
7.9,22.306
8,26.054
8.1,29.908
8.2,31.755
8.3,30.11
8.4,26.075
8.5,22.345
8.6,20.989
8.7,23.24
8.8,27.348
8.9,30.889
9,31.553
9.1,28.894
9.2,24.919
9.3,21.804
9.4,21.755
9.5,24.526
9.6,28.69
9.7,31.371
9.8,30.806
9.9,27.381
10,23.561
10.1,21.444
10.2,22.598
10.3,26.096
10.4,29.955
10.5,31.582
10.6,29.873
10.7,26.195
10.8,22.517
10.9,21.483
11,23.54
11.1,27.459
11.2,30.811
11.3,31.295
11.4,28.623
11.5,24.768
11.6,21.881
11.7,22.013
11.8,25.063
11.9,28.857